1,7,78,100
2,23,28,25
2,6,68,25
2,21,52,100
2,11,190,190
2,5,180,180
2,18,220,220
3,21,90,25
4,14,38,100
4,5,82,25
5,2,180,180
5,8,57,100
5,4,82,25
5,11,200,200
5,20,33,25
6,2,68,25
6,18,66,100
6,13,32,100
6,19,26,100
7,1,78,100
7,11,57,100
8,5,57,100
8,9,90,100
9,8,90,100
10,16,3,100
11,2,190,190
11,7,57,100
11,5,200,200
11,18,260,260
12,22,90,100
13,6,32,100
14,4,38,100
15,20,28,25
16,10,3,100
16,18,10,25
17,23,31,25
18,6,66,100
18,2,220,220
18,16,10,25
18,22,44,100
18,11,260,260
19,6,26,100
20,15,28,25
20,5,33,25
21,3,90,25
21,2,52,100
22,12,90,100
22,18,44,100
23,17,31,25
23,2,28,25
